Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

SCHOTTKY18 LED0603           3838.331mil    724.748mil       3838mil        725mil   3838.331mil    667.937mil  B        180.00                
LY 19      LED0603           4627.917mil     2755.8mil   4627.917mil     2755.8mil   4668.917mil     2755.8mil  T        360.00                
LY 20      LED0603           4627.917mil     2629.8mil   4627.917mil     2629.8mil   4668.917mil     2629.8mil  T        360.00                
LY 21      LED0603           4627.917mil     2503.8mil   4627.917mil     2503.8mil   4668.917mil     2503.8mil  T        360.00                
LY 22      LED0603           4627.917mil     2377.8mil   4627.917mil     2377.8mil   4668.917mil     2377.8mil  T        360.00                
LY 23      LED0603           4627.917mil     2251.8mil   4627.917mil     2251.8mil   4668.917mil     2251.8mil  T        360.00                
LY 24      LED0603           4627.917mil     2125.8mil   4627.917mil     2125.8mil   4668.917mil     2125.8mil  T        360.00                
LY 25      LED0603           4627.917mil     1999.8mil   4627.917mil     1999.8mil   4668.917mil     1999.8mil  T        360.00                
LY 26      LED0603           4627.917mil     1873.8mil   4627.917mil     1873.8mil   4668.917mil     1873.8mil  T        360.00                
LY 27      LED0603           4627.917mil     1747.8mil   4627.917mil     1747.8mil   4668.917mil     1747.8mil  T        360.00                
LY 28      LED0603           4627.917mil     1621.8mil   4627.917mil     1621.8mil   4668.917mil     1621.8mil  T        360.00                
LY 29      LED0603           4627.917mil     1495.8mil   4627.917mil     1495.8mil   4668.917mil     1495.8mil  T        360.00                
LY 30      LED0603           4627.917mil     1369.8mil   4627.917mil     1369.8mil   4668.917mil     1369.8mil  T        360.00                
LY 31      LED0603           4627.917mil     1243.8mil   4627.917mil     1243.8mil   4668.917mil     1243.8mil  T        360.00                
LY 32      LED0603           4627.917mil     1117.8mil   4627.917mil     1117.8mil   4668.917mil     1117.8mil  T        360.00                
LY 33      LED0603           3894.917mil     3007.8mil   3894.917mil     3007.8mil   3935.917mil     3007.8mil  T        360.00                
LY 34      LED0603           3894.917mil     2881.8mil   3894.917mil     2881.8mil   3935.917mil     2881.8mil  T        360.00                
LY 35      LED0603           3894.917mil     2755.8mil   3894.917mil     2755.8mil   3935.917mil     2755.8mil  T        360.00                
LY 36      LED0603           3894.917mil     2629.8mil   3894.917mil     2629.8mil   3935.917mil     2629.8mil  T        360.00                
LY 37      LED0603           3894.917mil     2503.8mil   3894.917mil     2503.8mil   3935.917mil     2503.8mil  T        360.00                
LY 38      LED0603           3894.917mil     2377.8mil   3894.917mil     2377.8mil   3935.917mil     2377.8mil  T        360.00                
LY 39      LED0603           3894.917mil     2251.8mil   3894.917mil     2251.8mil   3935.917mil     2251.8mil  T        360.00                
LY 40      LED0603           3894.917mil     2125.8mil   3894.917mil     2125.8mil   3935.917mil     2125.8mil  T        360.00                
